,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,SES Percentage,Asian,african american,latinx,white,Chance of Admit
86,329.0,111.0,4,4.5,4.5,9.18,1,87,0,0,0,1,0.87
87,338.0,117.0,4,3.5,4.5,9.46,1,58,1,0,0,0,0.91
88,331.0,116.0,5,5.0,5.0,9.38,1,100,0,0,0,1,0.93
89,304.0,103.0,5,5.0,4.0,8.64,0,35,0,0,1,0,0.68
90,305.0,108.0,5,3.0,3.0,8.48,0,43,0,0,0,1,0.61
91,321.0,109.0,4,4.0,4.0,8.68,1,8,0,0,1,0,0.69
92,301.0,107.0,3,3.5,3.5,8.34,1,52,0,0,1,0,0.62
93,320.0,110.0,2,4.0,3.5,8.56,0,82,0,1,0,0,0.72
94,311.0,105.0,3,3.5,3.0,8.45,1,71,0,0,0,1,0.59
95,310.0,106.0,4,4.5,4.5,9.04,1,39,0,0,0,1,0.66
96,299.0,102.0,3,4.0,3.5,8.62,0,27,0,0,0,1,0.56
97,290.0,104.0,4,2.0,2.5,7.46,0,61,0,0,0,1,0.45
98,327.0,104.0,5,3.0,3.5,8.84,1,99,0,0,0,1,0.71
99,335.0,117.0,5,5.0,5.0,9.56,1,82,0,1,0,0,0.94
100,334.0,119.0,5,4.5,4.5,9.48,1,5,0,0,0,1,0.94
101,310.0,106.0,4,1.5,2.5,8.36,0,75,0,1,0,0,0.57
102,308.0,108.0,3,3.5,3.5,8.22,0,87,0,0,0,1,0.61
103,301.0,106.0,4,2.5,3.0,8.47,0,5,0,1,0,0,0.57
104,300.0,100.0,3,2.0,3.0,8.66,1,74,0,0,0,1,0.64
105,323.0,113.0,3,4.0,3.0,9.32,1,16,0,1,0,0,0.85
106,319.0,112.0,3,2.5,2.0,8.71,1,28,1,0,0,0,0.78
107,326.0,112.0,3,3.5,3.0,9.1,1,20,0,0,0,1,0.84
108,333.0,118.0,5,5.0,5.0,9.35,1,27,0,0,1,0,0.92
109,339.0,114.0,5,4.0,4.5,9.76,1,37,0,0,1,0,0.96
110,303.0,105.0,5,5.0,4.5,8.65,0,24,0,0,0,1,0.77
111,309.0,105.0,5,3.5,3.5,8.56,0,60,0,0,0,1,0.71
112,323.0,112.0,5,4.0,4.5,8.78,0,15,0,1,0,0,0.79
113,312.0,103.0,3,5.0,4.0,8.45,0,41,0,0,0,1,0.76
114,316.0,100.0,2,1.5,3.0,8.16,1,73,0,0,0,1,0.71
115,326.0,116.0,2,4.5,3.0,9.08,1,73,0,0,1,0,0.8
116,318.0,109.0,1,3.5,3.5,9.12,0,28,0,0,0,1,0.78
117,329.0,110.0,2,4.0,3.0,9.15,1,47,0,0,1,0,0.84
118,332.0,118.0,2,4.5,3.5,9.36,1,28,0,0,0,1,0.9
119,340.0,120.0,4,4.5,4.0,9.92,1,75,0,0,1,0,0.97
120,325.0,112.0,2,3.0,3.5,8.96,1,69,0,0,0,1,0.8
121,320.0,113.0,2,2.0,2.5,8.64,1,93,1,0,0,0,0.81
122,315.0,105.0,3,2.0,2.5,8.48,0,76,0,0,0,1,0.75
123,326.0,114.0,3,3.0,3.0,9.11,1,44,0,0,1,0,0.83
124,339.0,116.0,4,4.0,3.5,9.8,1,86,1,0,0,0,0.96
125,311.0,106.0,2,3.5,3.0,8.26,1,36,0,0,0,1,0.79
126,334.0,114.0,4,4.0,4.0,9.43,1,77,0,0,0,1,0.93
127,332.0,116.0,5,5.0,5.0,9.28,1,97,0,0,1,0,0.94
128,321.0,112.0,5,5.0,5.0,9.06,1,39,0,0,0,1,0.86
129,324.0,105.0,3,3.0,4.0,8.75,0,96,0,0,0,1,0.79
130,326.0,108.0,3,3.0,3.5,8.89,0,59,0,0,0,1,0.8
131,312.0,109.0,3,3.0,3.0,8.69,0,91,0,0,0,1,0.77
132,315.0,105.0,3,2.0,2.5,8.34,0,94,0,1,0,0,0.7
133,309.0,104.0,2,2.0,2.5,8.26,0,28,0,1,0,0,0.65
134,306.0,106.0,2,2.0,2.5,8.14,0,62,0,1,0,0,0.61
135,297.0,100.0,1,1.5,2.0,7.9,0,14,0,1,0,0,0.52
136,315.0,103.0,1,1.5,2.0,7.86,0,77,0,1,0,0,0.57
137,298.0,99.0,1,1.5,3.0,7.46,0,69,0,0,0,1,0.53
138,318.0,109.0,3,3.0,3.0,8.5,0,16,0,0,0,1,0.67
139,317.0,105.0,3,3.5,3.0,8.56,0,23,0,0,0,1,0.68
140,329.0,111.0,4,4.5,4.0,9.01,1,38,0,0,1,0,0.81
141,322.0,110.0,5,4.5,4.0,8.97,0,68,0,0,1,0,0.78
142,313.0,102.0,3,2.0,3.0,8.27,0,8,0,0,0,1,0.64
143,293.0,97.0,2,2.0,4.0,7.8,1,49,0,0,1,0,0.64
144,311.0,99.0,2,2.5,3.0,7.98,0,82,0,0,1,0,0.65
145,312.0,101.0,2,2.5,3.5,8.04,1,88,0,0,0,1,0.68
146,334.0,117.0,5,4.0,4.5,9.07,1,5,0,0,0,1,0.89
147,322.0,110.0,4,4.0,5.0,9.13,1,88,0,0,1,0,0.86
148,323.0,113.0,4,4.0,4.5,9.23,1,81,0,0,1,0,0.89
149,321.0,111.0,4,4.0,4.0,8.97,1,88,0,0,0,1,0.87
150,329.0,119.0,4,4.5,4.5,9.16,1,17,0,0,0,1,0.9
151,319.0,110.0,3,3.5,3.5,9.04,0,81,0,0,0,1,0.82
152,309.0,108.0,3,2.5,3.0,8.12,0,6,0,0,0,1,0.72
153,307.0,102.0,3,3.0,3.0,8.27,0,63,0,0,0,1,0.73
154,300.0,104.0,3,3.5,3.0,8.16,0,70,0,0,0,1,0.71
155,305.0,107.0,2,2.5,2.5,8.42,0,33,0,0,1,0,0.71
156,299.0,100.0,2,3.0,3.5,7.88,0,40,0,0,0,1,0.68
157,314.0,110.0,3,4.0,4.0,8.8,0,76,0,0,0,1,0.75
158,316.0,106.0,2,2.5,4.0,8.32,0,28,0,0,1,0,0.72
159,327.0,113.0,4,4.5,4.5,9.11,1,1,1,0,0,0,0.89
160,335.0,118.0,5,4.5,3.5,9.44,1,48,0,0,0,1,0.93
161,331.0,115.0,5,4.5,3.5,9.36,1,100,0,0,1,0,0.93
162,324.0,111.0,5,4.5,4.0,9.16,1,61,0,0,0,1,0.9
163,323.0,110.0,5,4.0,5.0,8.98,1,43,0,0,1,0,0.87
164,322.0,114.0,5,4.5,4.0,8.94,1,84,0,0,0,1,0.86
165,336.0,118.0,5,4.5,5.0,9.53,1,22,0,1,0,0,0.94
166,316.0,109.0,3,3.5,3.0,8.76,0,27,0,0,0,1,0.77
167,307.0,107.0,2,3.0,3.5,8.52,1,42,0,0,0,1,0.78
168,306.0,105.0,2,3.0,2.5,8.26,0,14,0,0,0,1,0.73
169,310.0,106.0,2,3.5,2.5,8.33,0,55,0,0,0,1,0.73
170,311.0,104.0,3,4.5,4.5,8.43,0,52,0,0,0,1,0.7
171,313.0,107.0,3,4.0,4.5,8.69,0,84,0,1,0,0,0.72
172,317.0,103.0,3,2.5,3.0,8.54,1,41,0,0,0,1,0.73
173,315.0,110.0,2,3.5,3.0,8.46,1,39,0,0,0,1,0.72
174,340.0,120.0,5,4.5,4.5,9.91,1,51,0,0,1,0,0.97
175,334.0,120.0,5,4.0,5.0,9.87,1,51,0,0,0,1,0.97
176,298.0,105.0,3,3.5,4.0,8.54,0,86,1,0,0,0,0.69
177,295.0,99.0,2,2.5,3.0,7.65,0,28,0,0,0,1,0.57
178,315.0,99.0,2,3.5,3.0,7.89,0,11,1,0,0,0,0.63
179,310.0,102.0,3,3.5,4.0,8.02,1,23,0,0,0,1,0.66
180,305.0,106.0,2,3.0,3.0,8.16,0,4,1,0,0,0,0.64
181,301.0,104.0,3,3.5,4.0,8.12,1,75,0,0,0,1,0.68
182,325.0,108.0,4,4.5,4.0,9.06,1,29,0,0,0,1,0.79
183,333.0,119.0,5,5.0,4.5,9.78,1,47,0,1,0,0,0.96
184,331.0,117.0,4,4.5,5.0,9.42,1,1,0,0,0,1,0.94
185,330.0,116.0,5,5.0,4.5,9.36,1,72,0,1,0,0,0.93
186,322.0,112.0,4,4.5,4.5,9.26,1,88,1,0,0,0,0.91
187,321.0,109.0,4,4.0,4.0,9.13,1,62,0,0,0,1,0.85
188,324.0,110.0,4,3.0,3.5,8.97,1,2,0,0,0,1,0.84
189,312.0,104.0,3,3.5,3.5,8.42,0,17,1,0,0,0,0.74
190,313.0,103.0,3,4.0,4.0,8.75,0,18,0,0,0,1,0.76
191,316.0,110.0,3,3.5,4.0,8.56,0,60,0,0,1,0,0.75
192,324.0,113.0,4,4.5,4.0,8.79,0,86,0,0,0,1,0.76
193,308.0,109.0,2,3.0,4.0,8.45,0,45,1,0,0,0,0.71
194,305.0,105.0,2,3.0,2.0,8.23,0,90,0,0,0,1,0.67
195,296.0,99.0,2,2.5,2.5,8.03,0,96,1,0,0,0,0.61
196,306.0,110.0,2,3.5,4.0,8.45,0,97,0,0,1,0,0.63
197,324.0,111.0,4,3.0,3.0,9.01,1,28,0,0,0,1,0.82
198,313.0,104.0,3,4.0,4.5,8.65,0,36,0,0,0,1,0.73
199,319.0,106.0,3,3.5,2.5,8.33,1,31,0,0,1,0,0.74
200,312.0,107.0,2,2.5,3.5,8.27,0,28,1,0,0,0,0.69
201,304.0,100.0,2,2.5,3.5,8.07,0,45,0,0,0,1,0.64
202,330.0,113.0,5,5.0,4.0,9.31,1,30,1,0,0,0,0.91
203,326.0,111.0,5,4.5,4.0,9.23,1,22,0,1,0,0,0.88
204,325.0,112.0,4,4.0,4.5,9.17,1,67,0,1,0,0,0.85
205,329.0,114.0,5,4.5,5.0,9.19,1,20,0,1,0,0,0.86
206,310.0,104.0,3,2.0,3.5,8.37,0,50,0,1,0,0,0.7
207,299.0,100.0,1,1.5,2.0,7.89,0,88,0,1,0,0,0.59
208,296.0,101.0,1,2.5,3.0,7.68,0,77,0,1,0,0,0.6
209,317.0,103.0,2,2.5,2.0,8.15,0,82,0,1,0,0,0.65
210,324.0,115.0,3,3.5,3.0,8.76,1,1,0,1,0,0,0.7
211,325.0,114.0,3,3.5,3.0,9.04,1,5,0,1,0,0,0.76
212,314.0,107.0,2,2.5,4.0,8.56,0,49,0,1,0,0,0.63
213,328.0,110.0,4,4.0,2.5,9.02,1,15,0,0,0,1,0.81
214,316.0,105.0,3,3.0,3.5,8.73,0,20,0,0,0,1,0.72
215,311.0,104.0,2,2.5,3.5,8.48,0,19,0,0,0,1,0.71
216,324.0,110.0,3,3.5,4.0,8.87,1,86,0,0,0,1,0.8
217,321.0,111.0,3,3.5,4.0,8.83,1,69,0,0,0,1,0.77
218,320.0,104.0,3,3.0,2.5,8.57,1,41,0,0,1,0,0.74
219,316.0,99.0,2,2.5,3.0,9.0,0,77,0,0,0,1,0.7
220,318.0,100.0,2,2.5,3.5,8.54,1,41,0,0,1,0,0.71
221,335.0,115.0,4,4.5,4.5,9.68,1,48,0,0,0,1,0.93
222,321.0,114.0,4,4.0,5.0,9.12,0,6,0,0,1,0,0.85
223,307.0,110.0,4,4.0,4.5,8.37,0,95,0,0,0,1,0.79
224,309.0,99.0,3,4.0,4.0,8.56,0,47,0,1,0,0,0.76
225,324.0,100.0,3,4.0,5.0,8.64,1,11,0,0,0,1,0.78
226,326.0,102.0,4,5.0,5.0,8.76,1,95,0,0,0,1,0.77
227,327.0,108.0,5,5.0,3.5,9.13,1,33,0,0,0,1,0.87
228,312.0,104.0,3,3.5,4.0,8.09,0,90,0,0,0,1,0.71
229,308.0,103.0,2,2.5,4.0,8.36,1,99,0,0,0,1,0.7
230,324.0,111.0,3,2.5,1.5,8.79,1,23,0,0,1,0,0.7
231,325.0,110.0,2,3.0,2.5,8.76,1,27,0,0,1,0,0.75
232,313.0,102.0,3,2.5,2.5,8.68,0,12,0,0,1,0,0.71
233,312.0,105.0,2,2.0,2.5,8.45,0,64,0,0,1,0,0.72
234,327.0,113.0,4,4.5,5.0,9.14,0,5,1,0,0,0,0.83
235,308.0,108.0,4,4.5,5.0,8.34,0,37,1,0,0,0,0.77
236,306.0,105.0,2,2.5,3.0,8.22,1,89,0,0,0,1,0.72
237,294.0,95.0,1,1.5,1.5,7.64,0,36,0,1,0,0,0.49
238,312.0,99.0,1,1.0,1.5,8.01,1,92,0,0,0,1,0.52
239,315.0,100.0,1,2.0,2.5,7.95,0,3,0,0,0,1,0.58
240,322.0,110.0,3,3.5,3.0,8.96,1,2,0,0,0,1,0.78
241,329.0,113.0,5,5.0,4.5,9.45,1,75,0,0,0,1,0.89
242,320.0,101.0,2,2.5,3.0,8.62,0,39,0,0,0,1,0.7
243,308.0,103.0,2,3.0,3.5,8.49,0,98,0,0,0,1,0.66
244,304.0,102.0,2,3.0,4.0,8.73,0,56,0,0,1,0,0.67
245,311.0,102.0,3,4.5,4.0,8.64,1,4,0,0,0,1,0.68
246,312.0,106.0,3,4.0,3.5,8.79,1,61,0,1,0,0,0.81
247,321.0,111.0,3,2.5,3.0,8.9,1,11,0,0,0,1,0.8
248,340.0,112.0,4,5.0,4.5,9.66,1,78,0,0,0,1,0.94
249,331.0,116.0,5,4.0,4.0,9.26,1,52,1,0,0,0,0.93
250,336.0,118.0,5,4.5,4.0,9.19,1,65,1,0,0,0,0.92
251,324.0,114.0,5,5.0,4.5,9.08,1,15,0,0,0,1,0.89
252,314.0,104.0,4,5.0,5.0,9.02,0,57,1,0,0,0,0.82
253,313.0,109.0,3,4.0,3.5,9.0,0,91,1,0,0,0,0.79
254,307.0,105.0,2,2.5,3.0,7.65,0,17,1,0,0,0,0.58
255,300.0,102.0,2,1.5,2.0,7.87,0,38,0,1,0,0,0.56
256,302.0,99.0,2,1.0,2.0,7.97,0,59,0,0,0,1,0.56
257,312.0,98.0,1,3.5,3.0,8.18,1,57,0,0,1,0,0.64
258,316.0,101.0,2,2.5,2.0,8.32,1,3,0,0,0,1,0.61
259,317.0,100.0,2,3.0,2.5,8.57,0,95,0,0,0,1,0.68
260,310.0,107.0,3,3.5,3.5,8.67,0,91,0,0,0,1,0.76
261,320.0,120.0,3,4.0,4.5,9.11,0,98,0,0,1,0,0.86
262,330.0,114.0,3,4.5,4.5,9.24,1,73,0,0,0,1,0.9
263,305.0,112.0,3,3.0,3.5,8.65,0,23,0,0,0,1,0.71
264,319.0,108.0,2,2.5,3.0,8.76,0,45,0,0,0,1,0.66
265,323.0,107.0,3,3.5,3.5,8.55,1,97,0,1,0,0,0.73
266,313.0,106.0,2,2.5,2.0,8.43,0,36,0,0,0,1,0.62
267,321.0,109.0,3,3.5,3.5,8.8,1,99,0,0,0,1,0.74
268,323.0,110.0,3,4.0,3.5,9.1,1,69,0,0,0,1,0.79
269,325.0,112.0,4,4.0,4.0,9.0,1,57,0,0,1,0,0.8
270,312.0,108.0,3,3.5,3.0,8.53,0,43,0,0,0,1,0.69
271,308.0,110.0,4,3.5,3.0,8.6,0,9,0,0,0,1,0.7
272,320.0,104.0,3,3.0,3.5,8.74,1,77,0,0,0,1,0.76
273,328.0,108.0,4,4.5,4.0,9.18,1,3,0,0,0,1,0.84
274,311.0,107.0,4,4.5,4.5,9.0,1,82,0,0,0,1,0.78
275,301.0,100.0,3,3.5,3.0,8.04,0,5,0,1,0,0,0.67
276,305.0,105.0,2,3.0,4.0,8.13,0,35,0,0,0,1,0.66
277,308.0,104.0,2,2.5,3.0,8.07,0,8,0,0,1,0,0.65
278,300.0,99.0,1,1.0,2.5,8.01,0,61,0,0,0,1,0.58
279,324.0,111.0,3,2.5,2.0,8.8,1,93,0,1,0,0,0.79
280,327.0,113.0,4,3.5,3.0,8.69,1,71,0,0,0,1,0.8
281,317.0,106.0,3,4.0,3.5,8.5,1,45,0,0,0,1,0.75
282,323.0,104.0,3,4.0,4.0,8.44,1,2,0,1,0,0,0.73
283,314.0,107.0,2,2.5,4.0,8.27,0,3,0,0,0,1,0.72
284,305.0,102.0,2,2.0,2.5,8.18,0,42,0,0,0,1,0.62
285,315.0,104.0,3,3.0,2.5,8.33,0,56,0,0,0,1,0.67
286,326.0,116.0,3,3.5,4.0,9.14,1,85,0,1,0,0,0.81
287,299.0,100.0,3,2.0,2.0,8.02,0,15,0,0,0,1,0.63
288,295.0,101.0,2,2.5,2.0,7.86,0,97,0,0,0,1,0.69
289,324.0,112.0,4,4.0,3.5,8.77,1,60,0,0,0,1,0.8
290,297.0,96.0,2,2.5,1.5,7.89,0,90,0,0,0,1,0.43
291,327.0,113.0,3,3.5,3.0,8.66,1,2,0,0,1,0,0.8
292,311.0,105.0,2,3.0,2.0,8.12,1,88,0,0,0,1,0.73
293,308.0,106.0,3,3.5,2.5,8.21,1,37,0,0,0,1,0.75
294,319.0,108.0,3,3.0,3.5,8.54,1,80,0,0,1,0,0.71
295,312.0,107.0,4,4.5,4.0,8.65,1,28,1,0,0,0,0.73
296,319.0,110.0,3,3.0,2.5,8.79,0,55,0,0,0,1,0.72
297,332.0,118.0,5,5.0,5.0,9.47,1,61,0,0,1,0,0.94
298,324.0,107.0,5,3.5,4.0,8.66,1,25,0,0,0,1,0.81
299,312.0,107.0,3,3.0,3.0,8.46,1,77,0,0,0,1,0.75
300,326.0,110.0,3,3.5,3.5,8.76,1,59,0,0,0,1,0.79
301,308.0,106.0,3,3.0,3.0,8.24,0,40,0,0,0,1,0.58
302,295.0,96.0,2,1.5,2.0,7.34,0,7,1,0,0,0,0.47
303,316.0,98.0,1,1.5,2.0,7.43,0,59,0,0,0,1,0.49
304,304.0,97.0,2,1.5,2.0,7.64,0,26,0,0,0,1,0.47
305,299.0,94.0,1,1.0,1.0,7.34,0,74,0,0,0,1,0.42
306,302.0,99.0,1,2.0,2.0,7.25,0,47,0,0,0,1,0.57
307,313.0,101.0,3,2.5,3.0,8.04,0,50,0,0,0,1,0.62
308,318.0,107.0,3,3.0,3.5,8.27,1,32,0,0,0,1,0.74
309,325.0,110.0,4,3.5,4.0,8.67,1,62,0,1,0,0,0.73
310,303.0,100.0,2,3.0,3.5,8.06,1,10,0,0,0,1,0.64
311,300.0,102.0,3,3.5,2.5,8.17,0,20,0,0,0,1,0.63
312,297.0,98.0,2,2.5,3.0,7.67,0,60,0,0,0,1,0.59
313,317.0,106.0,2,2.0,3.5,8.12,0,83,0,0,0,1,0.73
314,327.0,109.0,3,3.5,4.0,8.77,1,25,0,0,1,0,0.79
315,301.0,104.0,2,3.5,3.5,7.89,1,75,0,0,0,1,0.68
316,314.0,105.0,2,2.5,2.0,7.64,0,35,0,0,0,1,0.7
317,321.0,107.0,2,2.0,1.5,8.44,0,94,0,0,1,0,0.81
318,322.0,110.0,3,4.0,5.0,8.64,1,36,0,0,0,1,0.85
319,334.0,116.0,4,4.0,3.5,9.54,1,80,0,1,0,0,0.93
320,338.0,115.0,5,4.5,5.0,9.23,1,19,0,0,0,1,0.91
321,306.0,103.0,2,2.5,3.0,8.36,0,58,0,0,0,1,0.69
322,313.0,102.0,3,3.5,4.0,8.9,1,74,0,0,0,1,0.77
323,330.0,114.0,4,4.5,3.0,9.17,1,40,0,1,0,0,0.86
324,320.0,104.0,3,3.5,4.5,8.34,1,25,0,0,0,1,0.74
325,311.0,98.0,1,1.0,2.5,7.46,0,1,1,0,0,0,0.57
326,298.0,92.0,1,2.0,2.0,7.88,0,16,0,0,1,0,0.51
327,301.0,98.0,1,2.0,3.0,8.03,1,60,0,0,0,1,0.67
328,310.0,103.0,2,2.5,2.5,8.24,0,2,0,1,0,0,0.72
329,324.0,110.0,3,3.5,3.0,9.22,1,40,0,0,0,1,0.89
330,336.0,119.0,4,4.5,4.0,9.62,1,31,0,0,0,1,0.95
331,321.0,109.0,3,3.0,3.0,8.54,1,25,0,1,0,0,0.79
332,315.0,105.0,2,2.0,2.5,7.65,0,24,0,0,0,1,0.39
333,304.0,101.0,2,2.0,2.5,7.66,0,79,0,1,0,0,0.38
334,297.0,96.0,2,2.5,2.0,7.43,0,69,0,0,0,1,0.34
335,290.0,100.0,1,1.5,2.0,7.56,0,23,1,0,0,0,0.47
336,303.0,98.0,1,2.0,2.5,7.65,0,59,1,0,0,0,0.56
337,311.0,99.0,1,2.5,3.0,8.43,1,61,0,0,1,0,0.71
338,322.0,104.0,3,3.5,4.0,8.84,1,28,0,0,0,1,0.78
339,319.0,105.0,3,3.0,3.5,8.67,1,8,0,0,0,1,0.73
340,324.0,110.0,4,4.5,4.0,9.15,1,80,0,0,0,1,0.82
341,300.0,100.0,3,3.0,3.5,8.26,0,97,0,1,0,0,0.62
342,340.0,113.0,4,5.0,5.0,9.74,1,85,0,0,0,1,0.96
343,335.0,117.0,5,5.0,5.0,9.82,1,46,0,0,0,1,0.96
344,307.0,105.0,2,2.0,3.5,8.1,0,43,0,0,0,1,0.53
345,296.0,97.0,2,1.5,2.0,7.8,0,67,0,1,0,0,0.49
